muni_id,muni_name,popest_2010,popest_2019,emp_vltl,unemp_avg_rate,unemp_rate_change,jobs_tot,jobs_nocolg,jobs_lowinc_pc,jobs_nonwhite_pc,inc_pc,inc_pc_me,hu_tot,hu_tot_me,hu_oo,hu_oo_me,hu_ro,hu_ro_me,hu_crowding,covid_tot_cases,covid_pc_pv,covid_rel_change
"2500170000000",Abington,16043,16668,71.5051048037767,17.3,-8.3,8505,1533,50.135214579659,14.8618459729571,40150,2308,16225,126,12227,731,3998,696,,314,0.0303,Higher
"2500380000000",Acton,21983,23662,47.9016981350939,9.24,-2.4,12042,1713,32.9181199136356,28.3341637601727,62395,2879,23378,202,18785,638,4593,599,1.63,208,0.006,Higher
"2500520000000",Acushnet,10308,10625,49.1830220734645,16.1,-11.6,5501,1115,49.7182330485366,5.19905471732412,33656,2694,10467,19,9352,428,1115,430,,143,0.0361,Higher
"2500555000000",Adams,8481,8010,98.347264780936,16.58,-7.1,3866,944,59.467149508536,5.25090532850491,30277,2251,8145,33,5327,369,2818,366,,46,0.0021,Lower
"2500840000000",Agawam,28451,28613,80.6848931417059,14.9,-5.4,14632,2871,49.7881355932203,11.3586659376709,35812,1765,28181,157,22965,651,5216,626,0.44,569,0.0046,Higher
"2500975000000",Alford,498,488,29.7479907726809,6.22,0.5,183,33,47.5409836065574,6.55737704918033,63046,15425,421,80,405,80,16,15,,3,0,No Change
"2501260000000",Amesbury,16323,17532,60.2921415736529,14.64,-7,9135,1682,43.7328954570334,6.75424192665572,40713,2621,17050,125,12338,783,4712,766,,217,0.0161,Higher
"2501325000000",Amherst,38720,39924,32.2981078240057,9.4,0.7,10138,1558,50.3945551390807,26.3464194121128,21617,1331,23312,563,10643,568,12669,727,1.27,264,0.0036,Lower
"2501465000000",Andover,33157,36356,56.8292341172662,10.66,-2.8,15402,2433,36.9562394494221,22.789248149591,66268,2941,34038,304,29002,733,5036,734,0.6,415,0.0073,No Change
"2501585000000",Aquinnah,306,320,16.828516886389,8.26,-10.4,108,22,53.7037037037037,33.3333333333333,42372,19499,492,159,390,121,102,98,,3,0.0385,No Change
"2501605000000",Arlington,42939,45531,58.2242986341663,9.48,-1.6,24306,3556,31.9591870320086,20.4723113634494,58355,2371,44819,126,29728,1119,15091,1114,1.22,378,0.0028,Lower
"2501885000000",Ashburnham,6086,6348,76.9219817712908,13.26,-3.9,2946,589,45.4514596062458,7.1622539035981,37771,4252,6033,39,5101,480,932,481,,38,0,No Change
"2501955000000",Ashby,3085,3219,64.5449022564714,13.84,-5.5,1673,330,46.5032875074716,5.4991034070532,37829,3393,3215,19,2895,165,320,165,,18,0,No Change
"2502095000000",Ashfield,1736,1717,46.8573692809349,9.7,-4.2,841,172,51.7241379310345,9.03686087990488,42557,5560,1536,155,1313,152,223,69,,7,0.0085,No Change
"2502130000000",Ashland,16663,17807,64.1289051819944,12.48,-3.9,9090,1467,37.3157315731573,21.2981298129813,52652,3300,17502,43,14839,492,2663,487,,324,0.0135,Higher
"2502480000000",Athol,11616,11732,92.0550143043823,15.7,-6,5640,1370,56.968085106383,8.42198581560284,27510,2075,11554,66,8569,564,2985,549,,94,0.0075,Lower
"2502690000000",Attleboro,43586,45237,75.8692580179101,16.98,-8,23834,4549,49.1776453805488,18.3099773432911,37018,1430,43965,187,31463,1036,12502,1044,0.93,934,0.0284,Higher
"2502760000000",Auburn,16234,16766,68.1620220787165,13.34,-5,9569,1798,43.2333577176298,10.9520326052879,41021,1572,16485,104,14606,384,1879,361,,283,0.0165,Higher
"2502935000000",Avon,4363,4549,92.711780557495,17.9,-6.9,2287,433,50.5902929602099,26.1915172715348,31901,3174,4477,39,3640,269,837,267,,92,0.0137,Lower
"2503005000000",Ayer,7464,8196,86.6048491701508,15.52,-5.3,4324,713,46.9472710453284,18.9639222941721,45299,3569,8010,34,5170,503,2840,502,,157,0.008,Higher
"2503690000000",Barnstable,45149,44477,62.7720636727886,17.78,-10.9,21213,4291,53.8631970961203,14.392118040824,40463,2091,43812,132,32898,1099,10914,1081,1.26,496,0.0136,Higher
"2503740000000",Barre,5403,5578,78.322025149554,14.52,-5.9,2862,551,48.4276729559748,6.25436757512229,33685,3343,5311,138,4203,409,1108,387,,71,0.0127,No Change
"2504545000000",Becket,1777,1716,83.5572483089004,16.68,-7.4,1008,226,59.5238095238095,11.6071428571429,41105,5326,1859,173,1669,149,190,99,,17,0.0132,Higher
"2504615000000",Bedford,13351,14123,52.6275813533681,10.76,-3,6739,1045,32.6309541474996,20.7004006529159,61404,5278,13725,128,10839,526,2886,505,,283,0.01,Lower
"2504825000000",Belchertown,14658,15098,67.4441276340472,13.16,-4.6,7684,1475,44.8334200937012,9.14888079125456,42021,3306,14961,23,12932,487,2029,486,,147,0.0058,No Change
"2504930000000",Bellingham,16443,17270,66.2727830822269,14.4,-6.9,9603,1799,42.5908570238467,10.2051442257628,47005,4204,16996,31,14820,511,2176,505,,175,0.0079,Higher
"2505070000000",Belmont,24710,26116,58.561315655644,9.84,-1.2,13836,1966,31.8733738074588,24.3639780283319,62602,3122,25755,118,17379,595,8376,569,1.37,275,0.0023,Lower
