muni_id,muni_name,tot_hu,me_tot_hu,oo_hu,me_oo_hu,ro_hu,me_ro_hu
0600000US2502300170,"Abington town, Plymouth County, Massachusetts",16225,126,12227,731,3998,696
0600000US2501700380,"Acton town, Middlesex County, Massachusetts",23378,202,18785,638,4593,599
0600000US2500500520,"Acushnet town, Bristol County, Massachusetts",10467,19,9352,428,1115,430
0600000US2500300555,"Adams town, Berkshire County, Massachusetts",8145,33,5327,369,2818,366
0600000US2501300840,"Agawam Town city, Hampden County, Massachusetts",28181,157,22965,651,5216,626
0600000US2500300975,"Alford town, Berkshire County, Massachusetts",421,80,405,80,16,15
0600000US2500901260,"Amesbury Town city, Essex County, Massachusetts",17050,125,12338,783,4712,766
0600000US2501501325,"Amherst town, Hampshire County, Massachusetts",23312,563,10643,568,12669,727
0600000US2500901465,"Andover town, Essex County, Massachusetts",34038,304,29002,733,5036,734
0600000US2500701585,"Aquinnah town, Dukes County, Massachusetts",492,159,390,121,102,98
0600000US2501701605,"Arlington town, Middlesex County, Massachusetts",44819,126,29728,1119,15091,1114
0600000US2502701885,"Ashburnham town, Worcester County, Massachusetts",6033,39,5101,480,932,481
0600000US2501701955,"Ashby town, Middlesex County, Massachusetts",3215,19,2895,165,320,165
0600000US2501102095,"Ashfield town, Franklin County, Massachusetts",1536,155,1313,152,223,69
0600000US2501702130,"Ashland town, Middlesex County, Massachusetts",17502,43,14839,492,2663,487
0600000US2502702480,"Athol town, Worcester County, Massachusetts",11554,66,8569,564,2985,549
0600000US2500502690,"Attleboro city, Bristol County, Massachusetts",43965,187,31463,1036,12502,1044
0600000US2502702760,"Auburn town, Worcester County, Massachusetts",16485,104,14606,384,1879,361
0600000US2502102935,"Avon town, Norfolk County, Massachusetts",4477,39,3640,269,837,267
0600000US2501703005,"Ayer town, Middlesex County, Massachusetts",8010,34,5170,503,2840,502
0600000US2500103690,"Barnstable Town city, Barnstable County, Massachusetts",43812,132,32898,1099,10914,1081
0600000US2502703740,"Barre town, Worcester County, Massachusetts",5311,138,4203,409,1108,387
0600000US2500304545,"Becket town, Berkshire County, Massachusetts",1859,173,1669,149,190,99
