muni_id,muni_name,pc_inc,me_pc_inc
0600000US2501770360,"Townsend town, Middlesex County, Massachusetts",40319,3554
0600000US2501328075,"Hampden town, Hampden County, Massachusetts",40873,3669
0600000US2502350145,"Norwell town, Plymouth County, Massachusetts",61522,4084
0600000US2502775400,"West Brookfield town, Worcester County, Massachusetts",37711,4494
0600000US2500359665,"Sandisfield town, Berkshire County, Massachusetts",36314,5299
0600000US2501737000,"Lowell city, Middlesex County, Massachusetts",24912,770
0600000US2502753225,"Phillipston town, Worcester County, Massachusetts",30290,2828
0600000US2501743895,"Natick town, Middlesex County, Massachusetts",57746,2711
0600000US2502354310,"Plymouth town, Plymouth County, Massachusetts",43747,1764
0600000US2501158335,"Rowe town, Franklin County, Massachusetts",32138,5452
0600000US2501531785,"Huntington town, Hampshire County, Massachusetts",31306,3508
0600000US2501773440,"Watertown Town city, Middlesex County, Massachusetts",54143,2165
0600000US2500941095,"Middleton town, Essex County, Massachusetts",45456,4940
0600000US2501762535,"Somerville city, Middlesex County, Massachusetts",47276,1410
0600000US2501740115,"Melrose city, Middlesex County, Massachusetts",52682,3585
0600000US2502318455,"East Bridgewater town, Plymouth County, Massachusetts",34751,2215
0600000US2501761380,"Sherborn town, Middlesex County, Massachusetts",79952,8390
0600000US2502150250,"Norwood town, Norfolk County, Massachusetts",45020,2518
0600000US2502717685,"Dudley town, Worcester County, Massachusetts",30831,2447
0600000US2501342530,"Montgomery town, Hampden County, Massachusetts",39650,4061
0600000US2502750670,"Oakham town, Worcester County, Massachusetts",36408,3031
0600000US2501739835,"Medford city, Middlesex County, Massachusetts",47589,2894
0600000US2501102095,"Ashfield town, Franklin County, Massachusetts",42557,5560
0600000US2502375260,"West Bridgewater town, Plymouth County, Massachusetts",37417,2815
0600000US2502730560,"Holden town, Worcester County, Massachusetts",45975,2449
0600000US2501135285,"Leyden town, Franklin County, Massachusetts",41039,7239
0600000US2502182315,"Wrentham town, Norfolk County, Massachusetts",50810,3258
0600000US2500373335,"Washington town, Berkshire County, Massachusetts",40238,4872
0600000US2501564145,"South Hadley town, Hampshire County, Massachusetts",32510,1717
0600000US2501319645,"East Longmeadow town, Hampden County, Massachusetts",39074,2840
0600000US2500977150,"West Newbury town, Essex County, Massachusetts",59600,8275
0600000US2502155745,"Quincy city, Norfolk County, Massachusetts",40238,1069
0600000US2500328180,"Hancock town, Berkshire County, Massachusetts",34963,3458
0600000US2501151265,"Orange town, Franklin County, Massachusetts",26235,2219
0600000US2502707525,"Boylston town, Worcester County, Massachusetts",46857,3321
0600000US2502771480,"Upton town, Worcester County, Massachusetts",50274,5461
0600000US2502706015,"Blackstone town, Worcester County, Massachusetts",37798,2451
0600000US2500523000,"Fall River city, Bristol County, Massachusetts",24600,741
0600000US2500377990,"West Stockbridge town, Berkshire County, Massachusetts",45199,6478
0600000US2502745105,"New Braintree town, Worcester County, Massachusetts",38908,5323
0600000US2501135180,"Leverett town, Franklin County, Massachusetts",48512,4877
0600000US2502178690,"Westwood town, Norfolk County, Massachusetts",71235,5985
0600000US2500726325,"Gosnold town, Dukes County, Massachusetts",90529,38581
0600000US2501300840,"Agawam Town city, Hampden County, Massachusetts",35812,1765
0600000US2500556060,"Raynham town, Bristol County, Massachusetts",43358,4069
0600000US2501147835,"Northfield town, Franklin County, Massachusetts",37542,4797
0600000US2501105560,"Bernardston town, Franklin County, Massachusetts",34712,3066
0600000US2501313485,"Chester town, Hampden County, Massachusetts",32665,3956
0600000US2501513590,"Chesterfield town, Hampshire County, Massachusetts",35987,4589
0600000US2500932310,"Ipswich town, Essex County, Massachusetts",48927,4245
0600000US2500974595,"Wenham town, Essex County, Massachusetts",48324,7805
0600000US2502333220,"Kingston town, Plymouth County, Massachusetts",40974,2652
0600000US2500970150,"Topsfield town, Essex County, Massachusetts",50449,5417
0600000US2501115200,"Conway town, Franklin County, Massachusetts",51621,5948
